name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Sao Paulo,Brazil",2015-11-21,21.2,17.1,19,21.2,17.1,19,15.9,82.2,0.5,100,4.17,rain,,,,20.5,130.3,1016,97.9,8.1,321.4,26.6,10,,2015-11-21T06:12:14,2015-11-21T19:32:51,0.35,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-22,27.7,17.9,21.6,28.9,17.9,21.8,16.6,73.8,0,0,0,,,,33.5,18.1,107.3,1015.9,59,9.8,289.2,24,10,,2015-11-22T06:12:03,2015-11-22T19:33:33,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-23,23,19.9,21,23,19.9,21,18.7,86.8,5.1,100,12.5,rain,,,35.3,14.2,158.9,1012.6,92.9,5.8,213.3,17.5,10,,2015-11-23T06:11:53,2015-11-23T19:34:15,0.42,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-24,22.6,19.9,21.3,22.6,19.9,21.3,17.6,79.7,0,0,0,,,,42.5,23.5,312.8,1010.8,85.9,9.3,203.3,16.9,9,,2015-11-24T06:11:45,2015-11-24T19:34:57,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-25,24.6,19.9,21.4,24.6,19.9,21.4,18.1,81.7,0,0,0,,,,,24,198.3,1013.9,94.1,10.1,310.4,25.7,10,,2015-11-25T06:11:39,2015-11-25T19:35:39,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-26,25.6,19,21.6,25.6,19,21.6,17.4,77.3,0,0,0,,,,,21.8,140.8,1017.3,90.4,10.1,343.9,28.5,10,,2015-11-26T06:11:33,2015-11-26T19:36:21,0.52,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-27,27.1,18.1,21.8,28.2,18.1,21.9,16.6,73.1,0,0,0,,,,,25.2,116.1,1016.2,56.9,10.3,354.9,29.3,10,,2015-11-27T06:11:30,2015-11-27T19:37:03,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-28,29.8,19.4,24,31.5,19.4,24.5,18.6,73.5,2,100,4.17,rain,,,51.8,29.1,311,1013.6,66.9,9.5,274.8,22.6,9,,2015-11-28T06:11:27,2015-11-28T19:37:45,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-29,26.8,20.1,21.9,28.1,20.1,21.9,19,84.1,37,100,12.5,rain,,,,15.9,113.7,1016,83.9,9.3,255.3,21.2,9,,2015-11-29T06:11:26,2015-11-29T19:38:28,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-30,22.1,17.1,19.6,22.1,17.1,19.6,17.2,86.1,0,0,0,,,,,23.3,145.1,1020.2,98.4,8,131.3,10.7,4,,2015-11-30T06:11:27,2015-11-30T19:39:09,0.65,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-12-01,23.8,17,19.3,23.8,17,19.3,16.3,82.7,0,0,0,,,,,17.7,128.9,1020.6,98.1,8.5,279.1,23.1,9,,2015-12-01T06:11:29,2015-12-01T19:39:51,0.68,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-12-02,28.1,18.1,21.8,29.6,18.1,22,18,80.2,0,0,0,,,,,17.9,142.4,1018.3,89.6,6.5,305.8,25.3,9,,2015-12-02T06:11:33,2015-12-02T19:40:33,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-12-03,24,20,21.4,24,20,21.4,18.1,81.9,0,0,0,,,,,19.6,141.1,1016.9,88.9,9.7,202.3,16.6,6,,2015-12-03T06:11:38,2015-12-03T19:41:14,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-12-04,27.4,19,21.7,28.5,19,21.8,17.9,79.6,0,0,0,,,,44.6,21.6,134,1015.1,86.2,8.9,262.4,21.6,9,,2015-12-04T06:11:44,2015-12-04T19:41:55,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBKP,83075099999,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-12-05,29.1,19.9,24.3,30.4,19.9,24.7,18.3,70.5,46,100,8.33,rain,,,44.6,23.3,303.2,1012.8,46.3,7.9,255.5,21.2,8,,2015-12-05T06:11:52,2015-12-05T19:42:36,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-12-06,27.4,20,22.4,28.5,20,22.5,18.6,80,16,100,8.33,rain,,,,17.4,198.4,1013.9,80.8,9.7,210.4,17.3,7,,2015-12-06T06:12:01,2015-12-06T19:43:16,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-12-07,23.1,18.1,20,23.1,18.1,20,16.8,82.2,0,0,0,,,,,19.8,149,1016.1,94.9,9.7,232.9,19.4,8,,2015-12-07T06:12:12,2015-12-07T19:43:57,0.88,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
